    0.670575328932299890E+05    0.474457867219245657E+03    0.507650166129853364E+00    0.585615041710767699E+02    0.120977344547108095E-02    0.668980397581391895E+01    0.462748205874018967E+08
    0.670263191613508243E+05    0.474787169599653112E+03    0.514481288759473299E+00    0.586309238172890659E+02    0.121119316719544862E-02    0.671205882212600802E+01    0.462748237143612653E+08
    0.680157839824810508E+05    0.476107226526064323E+03    0.496796555190124667E+00    0.582996931307864443E+02    0.120886394217515443E-02    0.669852459275518353E+01    0.462748237808355987E+08
    0.665348568016485224E+05    0.472986696173743269E+03    0.501982682390278101E+00    0.584212038573666916E+02    0.121284867559089495E-02    0.671061826846442688E+01    0.462748243614485711E+08
    0.666700910782363790E+05    0.475612837803459286E+03    0.512399104213096535E+00    0.585889771908152923E+02    0.121353531028193661E-02    0.672444655063430297E+01    0.462748245213461369E+08
    0.680497475297062192E+05    0.477396131600549211E+03    0.499690855757308927E+00    0.584418267719611393E+02    0.121322206550824783E-02    0.672668849860415552E+01    0.462748256614762545E+08
    0.678480292376195139E+05    0.476971504087976996E+03    0.507544768913866462E+00    0.584890611193079266E+02    0.121623703059337224E-02    0.673245987828577785E+01    0.462748257855701447E+08
    0.669899160713086458E+05    0.474171290438957726E+03    0.493635394436636399E+00    0.582848433559260002E+02    0.120779894797675802E-02    0.668578155037541499E+01    0.462748262085125744E+08
    0.663761768078914029E+05    0.474215435900288128E+03    0.497786874181498862E+00    0.583954780716743898E+02    0.121011889930324455E-02    0.670769755434564718E+01    0.462748264458540082E+08
    0.666543943516800064E+05    0.473816255928780095E+03    0.494652116671531084E+00    0.583686244335698206E+02    0.121056173580517045E-02    0.669721883952624886E+01    0.462748265597321242E+08
    0.663989205475656199E+05    0.475100002210281161E+03    0.507211886390982802E+00    0.585614905988406065E+02    0.121596688253765208E-02    0.674004273039872537E+01    0.462748266614737138E+08
    0.662713635968347808E+05    0.473642054410597382E+03    0.490465355999857799E+00    0.582405407326401985E+02    0.121175466699792326E-02    0.670656872005741000E+01    0.462748267085893080E+08
    0.683236078531068197E+05    0.477390812170748347E+03    0.489461215809447681E+00    0.583011289233643311E+02    0.121520438669473320E-02    0.672902065064478538E+01    0.462748269962733090E+08
    0.666299442870777712E+05    0.473665095931479925E+03    0.508819799018391028E+00    0.586198415746365740E+02    0.121789681981186444E-02    0.674193261198856852E+01    0.462748271678491086E+08
    0.676193299138737202E+05    0.476663311913208418E+03    0.499804753738652741E+00    0.584054293967913338E+02    0.121883427617832394E-02    0.675727073554188529E+01    0.462748272135060430E+08
    0.673814901452291087E+05    0.475695393315244246E+03    0.492989731373736861E+00    0.583864014782891729E+02    0.121560837516921857E-02    0.672582857618799324E+01    0.462748273718389049E+08
    0.666904436569780082E+05    0.473939985551176051E+03    0.488517355215425553E+00    0.582753099142184254E+02    0.121464835837743973E-02    0.673136723051899910E+01    0.462748274529068694E+08
    0.663154468259375426E+05    0.474684831604207716E+03    0.495793664944037316E+00    0.583527097249377960E+02    0.121146296181447698E-02    0.671319703317849470E+01    0.462748274969046265E+08
    0.671971422817068815E+05    0.475421880247649028E+03    0.503370580688639602E+00    0.585400808677234963E+02    0.121324509721570093E-02    0.671136513226811005E+01    0.462748276463032067E+08
    0.681346978695753933E+05    0.477335673779553986E+03    0.497262685657482106E+00    0.583686514215771410E+02    0.120935614602739154E-02    0.669879592493404807E+01    0.462748276618919075E+08
    0.670408225901862170E+05    0.475750783560138359E+03    0.505130787209078336E+00    0.585354421978396360E+02    0.121407320843411304E-02    0.671617682244138337E+01    0.462748278185719326E+08
    0.670821915648811409E+05    0.475365826910966575E+03    0.490434645488123488E+00    0.583234101738396902E+02    0.121024518225603945E-02    0.669961233003905399E+01    0.462748278358821347E+08
    0.674691046293786931E+05    0.476835018940883799E+03    0.503026321853616953E+00    0.584776140402448306E+02    0.120987581257212397E-02    0.669980873866813287E+01    0.462748278905128241E+08
    0.659371727140972944E+05    0.473638191345754478E+03    0.494673460163486511E+00    0.583514847391513598E+02    0.121455384046904044E-02    0.672575740802048294E+01    0.462748279079879746E+08
